SrNo,Date,a,Nature of Accident,Classification of Accident,Causes,Road Feature,Road Condition,Intersection Type and Control,Weather Condition,Vehicle Responsible,Fatal,Grevious,Minor,Injured,Help Provided by Ambulance/Patrol,Remarks
1,09-09-16,20:35,overspeed,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
2,09-09-16,20:35,overspeed,2,2 & 5,fourlane,straight,junction,fine,Fault of other vehicle while crossing the road two wheeler car hit,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
3,09-09-16,19:30,headoncollision,1 & 2,1,fourlane,straight,junction,fine,Two wheeler over speed and hit to two wheeler,1,1,0,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Govt Hoskote
4,09-09-15,5:30,skidding,2,7,fourlane,straight,junction,fine,Fault of road crossing pedestrian,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
5,09-09-15,22:45,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Truck,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
6,09-09-15,0:45,overspeed,2,2 & 3,fourlane,slightcurve,junction,fine,Truck over speed and Hit to the Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
7,09-09-15,19:45,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Tractor,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
8,09-09-15,12:45,headoncollision,2,1 & 2,fourlane,straight,tjunction,fine,Two wheeler over speed and hit to Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
9,09-08-17,20:30,headoncollision,1,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
10,09-08-17,23:45,overspeed,2,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,3,0,0,Ambulance,The injured person shifted to Silcon city Hospital
11,09-08-16,22:40,skidding,3,1,fourlane,straight,junction,fine,Two wheeler self accident Drunk & Drive,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
12,09-08-15,22:45,overspeed,1 & 2,2 & 3 & 5,fourlane,slightcurve,junction,fine,Car Hit to the Multi axle,1,3,0,0,Ambulance/Petrol Vehicle,The Fatal & Injured person shifted to MVJ Hospital
13,09-08-14,19:30,overspeed,1 & 3,2,fourlane,straight,junction,fine,Bike,1,0,1,0,Ambulance/Petrol Vehicle,"Bike Over speed. 1-Minor, 2- non injured. Shifted to Ambulance Jalappa Hospital Kolar."
14,09-07-17,19:45,skidding,2,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
15,09-06-15,15:50,others,3,2,fourlane,straight,junction,fine,T.T,0,0,0,0,Petrol Vehicle,T.T lost control by over speed (self accident)
