SrNo,Date,TimeOfAcc,Nature of Accident,Classification of Accident,Causes,Road Feature,Road Condition,Intersection Type and Control,Weather Condition,VehicleResponsible,Fatal,Grevious,Minor,Injured,Help Provided by Ambulance/Patrol,Remarks
1,09-09-2016,8:35 PM,overspeed,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
2,09-09-2016,8:35 PM,overspeed,2,2 & 5,fourlane,straight,junction,fine,Fault of other vehicle while crossing the road two wheeler car hit,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
3,09-09-2016,7:30 PM,headoncollision,1 & 2,1,fourlane,straight,junction,fine,Two wheeler over speed and hit to two wheeler,1,1,0,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Govt Hoskote
4,09-09-2015,5:30 AM,skidding,2,7,fourlane,straight,junction,fine,Fault of road crossing pedestrian,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
5,09-09-2015,10:45 PM,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Truck,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
6,09-09-2015,12:45 AM,overspeed,2,2 & 3,fourlane,slightcurve,junction,fine,Truck over speed and Hit to the Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
7,09-09-2015,7:45 PM,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Tractor,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
8,09-09-2015,12:45 PM,headoncollision,2,1 & 2,fourlane,straight,tjunction,fine,Two wheeler over speed and hit to Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
9,09-08-2017,8:30 PM,headoncollision,1,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
10,09-08-2017,11:45 PM,overspeed,2,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,3,0,0,Ambulance,The injured person shifted to Silcon city Hospital
