,SrNo,Nature of Accident,Classification of Accident,Causes,Road Feature,Road Condition,Intersection Type and Control,Weather Condition,VehicleResponsible,Fatal,Grevious,Minor,Injured,Help Provided by Ambulance/Patrol,Remarks,Encoded_VehicleResponsible,Hospital,AccYear,AccMonth,AccDay,HourOfAccident,TimeOfAccAMPM_AM,TimeOfAccAMPM_PM
0,1.0,overspeed,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,9.0,9.0,8,0,1
1,2.0,overspeed,2,2 & 5,fourlane,straight,junction,fine,Fault of other vehicle while crossing the road two wheeler car hit,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,9.0,9.0,8,0,1
2,3.0,headoncollision,1 & 2,1,fourlane,straight,junction,fine,Two wheeler over speed and hit to two wheeler,1,1,0,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Govt Hoskote,twowheeler,hoskoteH,2016.0,9.0,9.0,7,0,1
3,4.0,skidding,2,7,fourlane,straight,junction,fine,Fault of road crossing pedestrian,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,,MVJH,2015.0,9.0,9.0,5,1,0
4,5.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Truck,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,truck,MVJH,2015.0,9.0,9.0,10,0,1
5,6.0,overspeed,2,2 & 3,fourlane,slightcurve,junction,fine,Truck over speed and Hit to the Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2015.0,9.0,9.0,12,1,0
6,7.0,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Tractor,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2015.0,9.0,9.0,7,0,1
7,8.0,headoncollision,2,1 & 2,fourlane,straight,tjunction,fine,Two wheeler over speed and hit to Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2015.0,9.0,9.0,12,0,1
8,9.0,headoncollision,1,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2017.0,9.0,8.0,8,0,1
9,10.0,overspeed,2,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,3,0,0,Ambulance,The injured person shifted to Silcon city Hospital,car,siliconcityH,2017.0,9.0,8.0,11,0,1
